Q 13 F 326 H 8          
d 326 g 49.17405 5.979926           
u 327 g 49.17405 5.979926           
f 0 g 1449 q 1 1 1 2 2 3 3 3 g 45.658041 5.098972
f 1 g 242669 q 47 65 55 73 85 83 98 73 g 49.208524 0.710622
f 2 g 276 q 1 1 1 1 1 1 1 1 g 48.679128 1.541584
f 3 g 2836 q 2 3 3 4 4 5 4 4 g 46.404189 5.793623
f 4 g 609 q 1 1 1 1 1 1 1 1 g 47.062886 6.60859
f 5 g 14256 q 5 11 6 7 12 12 11 12 g 48.39392 18.00104
f 6 g 4418 q 4 5 6 8 8 7 8 7 g 48.279713 6.962509
f 7 g 1859 q 2 3 4 4 5 5 5 5 g 48.079782 1.341219
f 8 g 2341 q 3 3 3 4 5 5 5 5 g 46.539395 3.34655
f 9 g 595 q 1 1 1 1 2 1 1 2 g 48.692582 8.120812
f 10 g 6 q 0 0 0 0 0 0 0 0 g 48.881282 9.081654
f 11 g 17 q 0 0 0 0 0 0 0 0 g 48.88214 9.08295
f 12 g 153 q 0 0 0 0 1 1 1 1 g 49.152867 -0.303713
f 13 g 550 q 1 1 1 1 1 1 1 1 g 46.8742 23.782481
f 14 g 98 q 0 0 0 0 0 0 0 1 g 47.65359 19.64248
f 15 g 24 q 0 0 0 0 0 0 0 0 g 48.020646 2.719926
f 16 g 5861804 q 1377 1719 1729 1765 2458 2393 2462 2550 g 49.463892 5.855434
f 17 g 2084780 q 276 359 374 387 553 543 534 537 g 47.658214 7.006112
f 18 g 57 q 0 0 0 0 0 0 0 0 g 48.824918 7.763439
f 19 g 51453 q 15 21 20 31 30 37 34 34 g 47.97551 0.263862
f 20 g 48982 q 30 18 30 30 52 44 36 44 g 49.436826 1.907845
f 21 g 284 q 0 1 1 0 1 1 1 1 g 44.100375 1.102168
f 22 g 1681 q 2 3 3 3 6 4 2 4 g 48.37961 18.39684
f 23 g 156760 q 25 38 38 38 64 62 46 61 g 46.265822 5.655226
f 24 g 364 q 1 1 1 1 1 1 1 1 g 49.444292 1.895861
f 25 g 132 q 0 0 0 0 0 0 0 0 g 50.514844 2.465909
f 26 g 586 q 0 1 2 0 1 2 1 1 g 47.657655 -2.707203
f 27 g 430 q 1 1 1 2 2 2 2 2 g 48.771545 1.183239
f 28 g 259454 q 63 76 75 89 114 114 114 115 g 47.971379 3.536335
f 29 g 47 q 0 0 0 0 0 0 0 0 g 45.477822 4.520643
f 30 g 39126 q 16 31 15 43 31 32 22 36 g 49.186204 6.698376
f 31 g 14 q 0 0 0 0 0 0 0 0 g 48.93632 7.81602
