Q 13 F 41 H 3     
d 41 g 49.17405 5.979926
u 42 g 49.17405 5.979926    
f 0 g 0 q 0 0 0 g 47.9755098 0.2638618
f 1 g 2897005 q 0 13447 0 g 42.2055298999999 -8.756494
f 2 g 1315797 q 0 7134 0 g 40.11689 -3.65912
f 3 g 715503 q 0 4831 0 g 42.3617792999999 -3.6528812
f 4 g 248 q 0 3 0 g 45.204349 7.890527
f 5 g 0 q 0 0 0 g 44.948978 7.837267
f 6 g 0 q 0 0 0 g 45.410388 9.047433
f 7 g 552042 q 0 3999 0 g 47.8857 20.39686
f 8 g 0 q 0 0 0 g 48.7618924999999 2.119494
f 9 g 0 q 0 0 0 g 47.9829168 0.1827991
f 10 g 0 q 0 0 0 g 45.775613 4.877078
f 11 g 78429 q 0 0 755 g 40.8594182 29.4250656
f 12 g 15054 q 0 145 0 g 40.85689 29.40885
f 13 g 8945 q 0 84 0 g 40.24552 28.9276996
f 14 g 0 q 0 0 0 g 47.0871911 15.9408525
f 15 g 26802 q 0 252 0 g 40.2677074 29.0656888
f 16 g 1295867 q 0 6520 504 g 40.844087 29.431263
f 17 g 0 q 0 0 0 g 46.5792238 14.7349809
f 18 g 0 q 0 0 0 g 47.4737194 6.8447796
f 19 g 103922 q 0 1000 0 g 48.72496 18.24774
f 20 g 0 q 0 0 0 g 42.06081 14.756426
f 21 g 34819 q 0 250 0 g 38.336782 27.118821
f 22 g 419281 q 0 9900 0 g 49.1005101 6.8709183
f 23 g 25197 q 0 375 0 g 48.77217 17.82227
f 24 g 24516 q 0 235 0 g 40.791165 29.531318
f 25 g 2795 q 0 28 0 g 51.7795853999999 -4.0328306
f 26 g 19031 q 0 180 0 g 40.713418 30.042499
f 27 g 2212 q 0 20 0 g 45.621756 11.464539
f 28 g 28134 q 0 250 0 g 41.304264 27.969271
f 29 g 128 q 0 3 0 g 51.492406 7.35904
f 30 g 47844 q 0 375 0 g 40.178576 28.77338
f 31 g 1414017 q 0 7147 0 g 41.296172 27.984174
f 32 g 2237913 q 0 10253 0 g 41.61821 25.37994
f 33 g 322102 q 0 2666 0 g 53.7533 -1.74292
f 34 g 18551 q 0 320 0 g 41.8726689 3.1213665
f 35 g 43906 q 0 500 0 g 50.70984 12.46936
f 36 g 6876596 q 0 26025 0 g 49.3153313 1.0488725
f 37 g 0 q 0 0 0 g 50.2809202 3.9082965
f 38 g 3109656 q 496 13399 0 g 45.791781 15.177084
f 39 g 0 q 0 0 0 g 50.366665 3.033154
f 40 g 35291 q 0 49 0 g 41.6115045 -4.7299127
a 0 0 c 0      
a 0 1 c 1399735      
a 0 2 c 1147192      
a 0 3 c 868254      
a 0 4 c 861908      
a 0 5 c 863309      
a 0 6 c 946556      
a 0 7 c 1813162      
a 0 8 c 214048      
a 0 9 c 32429      
a 0 10 c 537463      
a 0 11 c 3127103      
a 0 12 c 3126454      
a 0 13 c 3218054      
a 0 14 c 1444118      
a 0 15 c 3210937      
a 0 16 c 3129058      
a 0 17 c 1402761      
a 0 18 c 625472      
a 0 19 c 1603096      
a 0 20 c 1599516      
a 0 21 c 3446449      
a 0 22 c 598351      
a 0 23 c 1591110      
a 0 24 c 3138531      
a 0 25 c 590951      
a 0 26 c 3186855      
a 0 27 c 1153138      
a 0 28 c 2976628      
a 0 29 c 784580      
a 0 30 c 3236796      
a 0 31 c 2977510      
a 0 32 c 2843053      
a 0 33 c 881478      
a 0 34 c 960613      
a 0 35 c 1153806      
a 0 36 c 227695      
a 0 37 c 458605      
a 0 38 c 1492576      
a 0 39 c 417474      
a 0 40 c 1010892      
a 0 41 c 523199      
a 0 42 c 523199      
a 1 0 c 1398555      
a 1 1 c 0      
a 1 2 c 655783      
a 1 3 c 557975      
a 1 4 c 1865761      
a 1 5 c 1867162      
a 1 6 c 1974627      
a 1 7 c 3071049      
a 1 8 c 1547447      
a 1 9 c 1396945      
a 1 10 c 1541316      
a 1 11 c 4308941      
a 1 12 c 4308292      
a 1 13 c 4397495      
a 1 14 c 2663921      
a 1 15 c 4389428      
a 1 16 c 4310896      
a 1 17 c 2539485      
a 1 18 c 1759008      
a 1 19 c 2828444      
a 1 20 c 2571300      
a 1 21 c 4461367      
a 1 22 c 1925547      
a 1 23 c 2791202      
a 1 24 c 4320369      
a 1 25 c 1764881      
a 1 26 c 4368693      
a 1 27 c 2176110      
a 1 28 c 4158466      
a 1 29 c 2116481      
a 1 30 c 4297445      
a 1 31 c 4159348      
a 1 32 c 4024891      
a 1 33 c 2245156      
a 1 34 c 1228269      
a 1 35 c 2423760      
a 1 36 c 1591373      
a 1 37 c 1792004      
a 1 38 c 2517583      
a 1 39 c 1750873      
a 1 40 c 467896      
a 1 41 c 2666257      
a 1 42 c 2291697      
a 2 0 c 1147644      
a 2 1 c 660300      
a 2 2 c 0      
a 2 3 c 306403      
a 2 4 c 1511298      
a 2 5 c 1512699      
a 2 6 c 1603176      
a 2 7 c 2699598      
a 2 8 c 1311152      
a 2 9 c 1146034      
a 2 10 c 1271300      
a 2 11 c 3937490      
a 2 12 c 3936841      
a 2 13 c 4026044      
a 2 14 c 2292470      
a 2 15 c 4017977      
a 2 16 c 3939445      
a 2 17 c 2164588      
a 2 18 c 1508097      
a 2 19 c 2573066      
a 2 20 c 2199849      
a 2 21 c 4089916      
a 2 22 c 1670169      
a 2 23 c 2540291      
a 2 24 c 3948918      
a 2 25 c 1513970      
a 2 26 c 3997242      
a 2 27 c 1804659      
a 2 28 c 3787015      
a 2 29 c 1860204      
a 2 30 c 3925994      
a 2 31 c 3787897      
a 2 32 c 3653440      
a 2 33 c 1994245      
a 2 34 c 774075      
a 2 35 c 2172849      
a 2 36 c 1341063      
a 2 37 c 1549082      
a 2 38 c 2146132      
a 2 39 c 1514578      
a 2 40 c 250986      
a 2 41 c 4321652      
a 2 42 c 3947092      
a 3 0 c 867917      
